7.930000 9.150000 7.770000 0.886000 359
4.210000 6.490000 4.920000 0.386000 255
7.630000 0.590000 6.900000 0.027000 186
7.360000 1.720000 4.260000 0.540000 326
7.820000 4.290000 5.670000 0.368000 795
1.350000 0.670000 1.230000 0.862000 346
0.690000 0.580000 0.220000 0.802000 201
0.420000 0.110000 4.560000 0.393000 951
7.840000 9.190000 4.210000 0.373000 293
3.700000 3.150000 3.240000 0.198000 745
9.560000 9.800000 0.910000 0.526000 205
2.810000 9.960000 1.700000 0.862000 529
3.360000 3.270000 0.840000 0.925000 289
8.570000 3.130000 7.290000 0.846000 489
8.140000 5.450000 5.820000 0.895000 508
7.500000 0.430000 3.640000 0.434000 663
7.880000 1.780000 2.760000 0.808000 911
3.990000 7.540000 6.510000 0.403000 176
7.390000 3.680000 6.760000 0.060000 316
5.390000 0.940000 5.860000 0.226000 92
4.670000 3.780000 4.340000 0.570000 251
4.920000 3.170000 9.020000 0.097000 297
2.860000 2.800000 3.010000 0.756000 892
6.190000 4.440000 6.890000 0.865000 97
0.970000 1.170000 0.310000 0.729000 680
9.270000 7.090000 6.750000 0.481000 491
5.860000 3.530000 4.970000 0.856000 1015
6.240000 2.190000 6.830000 0.306000 741
5.030000 8.290000 7.320000 0.871000 328
7.150000 7.080000 3.680000 0.270000 291
6.180000 7.230000 7.960000 0.149000 356
5.550000 9.210000 4.510000 0.846000 709
8.410000 2.280000 7.640000 0.488000 315
7.640000 0.340000 5.000000 0.193000 158
7.430000 8.560000 9.870000 0.914000 428
9.360000 8.590000 3.650000 0.227000 59
2.750000 2.280000 4.370000 0.551000 584
3.950000 8.580000 1.210000 0.474000 367
8.180000 7.930000 2.350000 0.237000 125
5.290000 9.280000 0.110000 0.143000 284
6.130000 7.630000 4.430000 0.404000 248
8.180000 9.040000 8.400000 0.606000 714
9.170000 9.170000 3.690000 0.688000 312
1.830000 4.700000 7.430000 0.324000 564
6.440000 7.250000 7.720000 0.499000 506
7.860000 9.540000 1.390000 0.505000 134
1.970000 4.640000 5.420000 0.082000 597
6.110000 3.480000 8.040000 0.355000 883
