2.000000 0.1
3.000000 0.15
4.000000 0.2
5.000000 0.25
6.000000 0.3
7.000000 0.35
8.000000 0.4
9.000000 0.45
10.000000 0.5
11.000000 0.55
12.000000 0.6
13.000000 0.65
14.000000 0.7
15.000000 0.75
16.000000 0.8

1.975071 0.1
2.975071 0.15
3.975071 0.2
4.975071 0.25
5.975071 0.3
6.975071 0.35
7.975071 0.4
8.975071 0.45
9.975071 0.5
10.975071 0.55
11.975071 0.6
12.975071 0.65
13.975071 0.7
14.975071 0.75
15.975071 0.8

1.901128 0.1
2.901128 0.15
3.901128 0.2
4.901127 0.25
5.901127 0.3
6.901127 0.35
7.901127 0.4
8.901128 0.45
9.901128 0.5
10.901128 0.55
11.901128 0.6
12.901128 0.65
13.901128 0.7
14.901128 0.75
15.901128 0.8

1.780672 0.1
2.780672 0.15
3.780672 0.2
4.780672 0.25
5.780672 0.3
6.780672 0.35
7.780672 0.4
8.780672 0.45
9.780672 0.5
10.780672 0.55
11.780672 0.6
12.780672 0.65
13.780672 0.7
14.780672 0.75
15.780672 0.8

1.617768 0.1
2.617768 0.15
3.617768 0.2
4.617768 0.25
5.617768 0.3
6.617768 0.35
7.617768 0.4
8.617767 0.45
9.617767 0.5
10.617767 0.55
11.617767 0.6
12.617767 0.65
13.617767 0.7
14.617767 0.75
15.617767 0.8

1.417885 0.1
2.417885 0.15
3.417885 0.2
4.417885 0.25
5.417885 0.3
6.417885 0.35
7.417885 0.4
8.417885 0.45
9.417885 0.5
10.417885 0.55
11.417885 0.6
12.417885 0.65
13.417885 0.7
14.417885 0.75
15.417885 0.8

1.187693 0.1
2.187693 0.15
3.187693 0.2
4.187693 0.25
5.187693 0.3
6.187693 0.35
7.187693 0.4
8.187694 0.45
9.187694 0.5
10.187694 0.55
11.187694 0.6
12.187694 0.65
13.187694 0.7
14.187694 0.75
15.187694 0.8

0.934809 0.1
1.934809 0.15
2.934809 0.2
3.934809 0.25
4.934809 0.3
5.934809 0.35
6.934809 0.4
7.934809 0.45
8.934809 0.5
9.934809 0.55
